time,precipitation_sum (mm),temperature_2m_max (°C)
9/16/2021,0,19.6
9/17/2021,18,15.6
9/18/2021,28.5,14.9
9/19/2021,20.5,16.4
9/20/2021,0.8,18.5
9/21/2021,0,24
9/22/2021,0.3,17.9
9/23/2021,0,19.3
9/24/2021,0,23.2
9/25/2021,0,23.4
9/26/2021,10.3,17.6
9/27/2021,13.3,16.3
9/28/2021,14.9,14.5
9/29/2021,1.7,15.7
9/30/2021,15.8,15.2
10/1/2021,0.4,16.7
10/2/2021,0,17.6
10/3/2021,1.5,13.8
10/4/2021,0,16.3
10/5/2021,9,13.3
10/6/2021,14.3,12.3
10/7/2021,2.4,13.4
10/8/2021,0,14.3
10/9/2021,2.7,12.5
10/10/2021,23.6,10.7
10/11/2021,1.9,11
10/12/2021,3,11.1
10/13/2021,1.2,11
10/14/2021,3.9,12.2
10/15/2021,16.8,13
10/16/2021,2.4,19.1
10/17/2021,0.1,15
10/18/2021,0.7,12.4
10/19/2021,0,15.9
10/20/2021,5.9,14.8
10/21/2021,9,19.5
10/22/2021,6.3,12.6
10/23/2021,3.5,12.4
10/24/2021,8.1,14.4
10/25/2021,6.2,14.2
10/26/2021,13.2,12.4
10/27/2021,4.8,11.9
10/28/2021,56.5,14.3
10/29/2021,15.8,10.8
10/30/2021,0,11.7
10/31/2021,0,13.7
11/1/2021,3.4,13.4
11/2/2021,6.2,10.4
11/3/2021,8.2,16
11/4/2021,15,13
11/5/2021,6.3,9.7
11/6/2021,17.3,8
11/7/2021,11.8,8.3
11/8/2021,0.1,12.9
11/9/2021,11.9,11.8
11/10/2021,0.4,11.1
11/11/2021,23.6,10.6
11/12/2021,33.2,13.1
11/13/2021,17,10.2
11/14/2021,22.5,14.3
11/15/2021,22.3,15.2
11/16/2021,0.2,8.9
11/17/2021,0,9.4
11/18/2021,7.9,8.2
11/19/2021,13.8,7.9
11/20/2021,0,8.6
11/21/2021,0,8.5
11/22/2021,4.5,7
11/23/2021,13.1,7.5
11/24/2021,0.5,7.5
11/25/2021,18.9,8.6
11/26/2021,15.1,10.3
11/27/2021,14.7,13
11/28/2021,9,13.4
11/29/2021,1.8,12.9
11/30/2021,20.6,11.2
12/1/2021,5.3,13.4
12/2/2021,5.1,11.4
12/3/2021,0,5.6
12/4/2021,15,4.5
12/5/2021,0.1,4.7
12/6/2021,3.6,5.4
